bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"-87.7755992934263,41.8190047538661,-87.6368222550356,41.9166868871327",uuuu,85633793,,a3dc669319ae01f64fc31aaa7a301a7e,,8eba648b6f1ec8e298adc9d1593c3f83,41.876150,-87.706279,957979099,uuuu,US,US,1507246146,41.871586,-87.700686,85940195,West Side,85940195,957/979/099/957979099.geojson,borough,85688697,mz,,,US
"-87.80162605978,41.64454312227478,-87.5241371038858,41.8528864108917",uuuu,85633793,,d8d8db472837465653d2cf1d0bc94a00,,289f25801ea672eb62f5a3cc8ccef85c,41.746514,-87.638961,958036681,uuuu,US,US,1507246146,41.793725,-87.634218,85940195,South Side,85940195,958/036/681/958036681.geojson,borough,85688697,mz,,85866941,US
"-87.6454187148439,41.8469923594951,-87.59852438757756,41.9112507466623",uuuu,85633793,,c4d36dd56c82da7cbc192f7c422a697f,,41d40f4f7de31f14e0cc66314309f359,41.878022,-87.626955,957999223,uuuu,US,US,1507246146,41.879218,-87.626952,85940195,Central,85940195,957/999/223/957999223.geojson,borough,85688697,mz,,,US
"-74.04189513118025,40.56952999448673,-73.83623731597845,40.73912795313434",uuuu,85633793,,02a545e78cd6e47ec7ab69352a09e64f,,e6dea41e03b9c754c3ad68ab0cf09ce3,40.644536,-73.947928,421205765,uuuu,US,US,1513812442,40.652256,-73.956582,85977539,Brooklyn,85977539,421/205/765/421205765.geojson,borough,85688543,mz,,"420782855,404521211",US
"-73.96262015898665,40.54182008715523,-73.70000906387122,40.801011467819",uuuu,85633793,,84fb2fbfe5db9652f34604938f5501d0,,1a6ebf71ce09963257e2465227ccf798,40.707366,-73.818798,421205767,uuuu,US,US,1513812670,40.718804,-73.805154,85977539,Queens,85977539,421/205/767/421205767.geojson,borough,85688543,mz,,"420782853,404521559",US
"-74.0477296269705,40.68291694544506,-73.90665099539478,40.87903804680469",uuuu,85633793,,8fe3f717ebe420595df5848b9b1fa36d,,781d106e30d8368dd2a217dd272be574,40.777595,-73.967045,421205771,uuuu,US,US,1513812599,40.777048,-73.967596,85977539,Manhattan,85977539,421/205/771/421205771.geojson,borough,85688543,mz,,"420782849,404522731",US
"-73.93360592036717,40.78535662050848,-73.76533243995296,40.91553277700521",uuuu,85633793,,0e93f15eed2aaa29731801986f6500ed,,ba1b350e95026d7e891455b4c4311f2e,40.852635,-73.866605,421205773,uuuu,US,US,1513812723,40.853551,-73.874979,85977539,The Bronx,85977539,421/205/773/421205773.geojson,borough,85688543,mz,,"420782851,404521159",US
"-74.25559136315229,40.49613398761198,-74.05222826954197,40.64889114733949",uuuu,85633793,,cc1877b23c7e25b4d173064e11fdec67,,72ef53fbd5eb7c2c0e8ef060dd952b55,40.580852,-74.153376,421205775,uuuu,US,US,1507246145,40.589886,-74.151842,85977539,Staten Island,85977539,421/205/775/421205775.geojson,borough,85688543,mz,,"420782857,404523089",US
"24.5889958385385,59.9014033851297,24.9425927607259,60.1895251701339",uuuu,85633143,,fa4faa6c251d5d16b263a7b1efd03833,,d74ce5391242118e277db4f28328d16d,60.044088,24.767540,1108729211,uuuu,FI,FI,1507246136,60.161260,24.668330,101748415,Suur-Espoonlahti,101748415,110/872/921/1/1108729211.geojson,borough,85683067,hkigis,,,FI
"24.5025871854473,60.1637696395564,24.6428145018637,60.2310212822057",uuuu,85633143,,377aaf19e5bd368d218966a7d5190549,,7d6883a7e6daa3408476cd115ec8075c,60.197643,24.574150,1108729213,uuuu,FI,FI,1507246136,60.197267,24.574190,101748415,Suur-Kauklahti,101748415,110/872/921/3/1108729213.geojson,borough,85683067,hkigis,,,FI
