"id","name","lat","lon","parent_id","layer","label","country","country_a","region","locality","neighbourhood_borough","population_rank"
"1109371863","Comuna 7","-34.640557","-58.454183","421174285","borough","Comuna 7 Buenos Aires,Ciudad de Buenos Aires,Argentina","Argentina","AR","Ciudad de Buenos Aires","Buenos Aires","Comuna 7","0"
"1158858877","Nevskiy Rayon","0.0","0.0","1158857531","borough","Nevskiy Rayon St. Petersburg,Saint Petersburg City,Russia","Russia","RU","Saint Petersburg City","St. Petersburg","Nevskiy Rayon","0"
"1158857543","Kurortny","60.179008","29.794686","1158857531","borough","Kurortny St. Petersburg,Saint Petersburg City,Russia","Russia","RU","Saint Petersburg City","St. Petersburg","Kurortny","0"
"890535759","Villa Milpa Alta","19.193723","-99.025188","101991185","borough","Villa Milpa Alta Villa Milpa Alta,Ciudad de México,Mexico","Mexico","MX","Ciudad de México","Villa Milpa Alta","Villa Milpa Alta","0"
"958036681","South Side","41.793725","-87.634218","85940195","borough","South Side Chicago,Illinois,United States","United States","US","Illinois","Chicago","South Side","0"
"1108955741","Lachine","45.440547","-73.685412","101736545","borough","Lachine Montreal,Quebec,Canada","Canada","CA","Quebec","Montreal","Lachine","0"
"1126115111","Charlesbourg","46.868323","-71.270446","101737491","borough","Charlesbourg Quebec,Quebec,Canada","Canada","CA","Quebec","Quebec","Charlesbourg","0"
"1108961057","Saint-Hubert","45.501148","-73.425362","101738793","borough","Saint-Hubert Longueuil,Quebec,Canada","Canada","CA","Quebec","Longueuil","Saint-Hubert","0"
"1158857309","Kingston upon Thames","51.409565","-0.310941","101750367","borough","Kingston upon Thames London,United Kingdom","United Kingdom","GB","","London","Kingston upon Thames","0"
"1158857285","Barnet","51.650054","-0.19856","101750367","borough","Barnet London,United Kingdom","United Kingdom","GB","","London","Barnet","0"
"1158857261","Hillingdon","51.533593","-0.449482","101750367","borough","Hillingdon London,United Kingdom","United Kingdom","GB","","London","Hillingdon","0"
"1108808675","West","52.108341","5.069106","101751827","borough","West Utrecht,Utrecht,Netherlands","Netherlands","NL","Utrecht","Utrecht","West","0"
"1108805749","Spaanse Polder","51.928025","4.420128","101751843","borough","Spaanse Polder Rotterdam,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","Rotterdam","Spaanse Polder","0"
"1158831803","Waalhaven-Eemhaven","51.883767","4.425429","101751843","borough","Waalhaven-Eemhaven Rotterdam,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","Rotterdam","Waalhaven-Eemhaven","0"
"1158844283","Zuid","52.344802","4.873286","101751893","borough","Zuid Amsterdam,Noord-Holland,Netherlands","Netherlands","NL","Noord-Holland","Amsterdam","Zuid","0"
"1108729225","Suur-Tapiola","60.17832","24.799368","101748415","borough","Suur-Tapiola Espoo,Uusimaa,Finland","Finland","FI","Uusimaa","Espoo","Suur-Tapiola","0"
"890536895","Pohjoinen","60.247946","24.940711","101748417","borough","Pohjoinen Helsinki,Uusimaa,Finland","Finland","FI","Uusimaa","Helsinki","Pohjoinen","0"
"1108729489","Aviapolis","60.302959","24.934273","101748419","borough","Aviapolis Vantaa,Uusimaa,Finland","Finland","FI","Uusimaa","Vantaa","Aviapolis","0"
"1108815541","Marzahn-Hellersdorf","52.515826","13.574036","101748799","borough","Marzahn-Hellersdorf Berlin,Berlin,Germany","Germany","DE","Berlin","Berlin","Marzahn-Hellersdorf","0"
"890535751","Álvaro Obregón","19.364502","-99.223359","857683023","borough","Álvaro Obregón Mexico City,Ciudad de México,Mexico","Mexico","MX","Ciudad de México","Mexico City","Álvaro Obregón","11"
"1109371849","Comuna 1","-34.609446","-58.378746","421174285","borough","Comuna 1 Buenos Aires,Ciudad de Buenos Aires,Argentina","Argentina","AR","Ciudad de Buenos Aires","Buenos Aires","Comuna 1","0"
"1109371861","Comuna 6","-34.618044","-58.443262","421174285","borough","Comuna 6 Buenos Aires,Ciudad de Buenos Aires,Argentina","Argentina","AR","Ciudad de Buenos Aires","Buenos Aires","Comuna 6","0"
"1158858875","Moskovskiy Rayon","0.0","0.0","1158857531","borough","Moskovskiy Rayon St. Petersburg,Saint Petersburg City,Russia","Russia","RU","Saint Petersburg City","St. Petersburg","Moskovskiy Rayon","0"
"1158857539","Kronshtadt","59.991802","29.785266","1158857531","borough","Kronshtadt St. Petersburg,Saint Petersburg City,Russia","Russia","RU","Saint Petersburg City","St. Petersburg","Kronshtadt","7"
"1108971557","Mature Area Sector","53.549603","-113.510458","890458485","borough","Mature Area Sector Edmonton,Alberta,Canada","Canada","CA","Alberta","Edmonton","Mature Area Sector","0"
"957979099","West Side","41.871586","-87.700686","85940195","borough","West Side Chicago,Illinois,United States","United States","US","Illinois","Chicago","West Side","0"
"1108955739","Saint-Laurent","45.500789","-73.709152","101736545","borough","Saint-Laurent Montreal,Quebec,Canada","Canada","CA","Quebec","Montreal","Saint-Laurent","0"
"1126115107","La Cite-Limoilou","46.811148","-71.222311","101737491","borough","La Cite-Limoilou Quebec,Quebec,Canada","Canada","CA","Quebec","Quebec","La Cite-Limoilou","0"
"1108961051","Vieux Longueuil","45.534279","-73.511036","101738793","borough","Vieux Longueuil Longueuil,Quebec,Canada","Canada","CA","Quebec","Longueuil","Vieux Longueuil","0"
"1158857305","Merton","51.413048","-0.188837","101750367","borough","Merton London,United Kingdom","United Kingdom","GB","","London","Merton","0"
"1158857281","Enfield","51.654355","-0.082138","101750367","borough","Enfield London,United Kingdom","United Kingdom","GB","","London","Enfield","0"
"1158857259","Hounslow","51.466478","-0.361878","101750367","borough","Hounslow London,United Kingdom","United Kingdom","GB","","London","Hounslow","0"
"1108808673","Vleuten-De Meern","52.076432","5.028112","101751827","borough","Vleuten-De Meern Utrecht,Utrecht,Netherlands","Netherlands","NL","Utrecht","Utrecht","Vleuten-De Meern","0"
"1108805747","Feijenoord","51.892205","4.505838","101751843","borough","Feijenoord Rotterdam,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","Rotterdam","Feijenoord","0"
"1108805725","Prins Alexander","51.949556","4.546982","101751843","borough","Prins Alexander Rotterdam,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","Rotterdam","Prins Alexander","0"
"1158831799","Kralingen-Crooswijk","51.933046","4.503392","101751843","borough","Kralingen-Crooswijk Rotterdam,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","Rotterdam","Kralingen-Crooswijk","0"
"1158844281","Oost","52.358957","4.950877","101751893","borough","Oost Amsterdam,Noord-Holland,Netherlands","Netherlands","NL","Noord-Holland","Amsterdam","Oost","0"
"1108729223","Suur-Leppavaara","60.225898","24.771245","101748415","borough","Suur-Leppavaara Espoo,Uusimaa,Finland","Finland","FI","Uusimaa","Espoo","Suur-Leppavaara","0"
"890536893","Ostersundom","60.256441","25.198531","101748417","borough","Ostersundom Helsinki,Uusimaa,Finland","Finland","FI","Uusimaa","Helsinki","Ostersundom","0"
"1108729481","Kivisto","60.344757","24.843306","101748419","borough","Kivisto Vantaa,Uusimaa,Finland","Finland","FI","Uusimaa","Vantaa","Kivisto","0"
"1108815539","Lichtenberg","52.527931","13.4959","101748799","borough","Lichtenberg Berlin,Berlin,Germany","Germany","DE","Berlin","Berlin","Lichtenberg","0"
"890535777","La Magdalena Contreras","19.311346","-99.242886","857683023","borough","La Magdalena Contreras Mexico City,Ciudad de México,Mexico","Mexico","MX","Ciudad de México","Mexico City","La Magdalena Contreras","10"
"1109371881","Comuna 15","-34.591191","-58.460088","421174285","borough","Comuna 15 Buenos Aires,Ciudad de Buenos Aires,Argentina","Argentina","AR","Ciudad de Buenos Aires","Buenos Aires","Comuna 15","0"
"1109371859","Comuna 5","-34.617417","-58.420607","421174285","borough","Comuna 5 Buenos Aires,Ciudad de Buenos Aires,Argentina","Argentina","AR","Ciudad de Buenos Aires","Buenos Aires","Comuna 5","0"
"1158858871","Krasnogvardeyskiy Rayon","0.0","0.0","1158857531","borough","Krasnogvardeyskiy Rayon St. Petersburg,Saint Petersburg City,Russia","Russia","RU","Saint Petersburg City","St. Petersburg","Krasnogvardeyskiy Rayon","0"
"1158857537","Kolpinsky","59.781192","30.582441","1158857531","borough","Kolpinsky St. Petersburg,Saint Petersburg City,Russia","Russia","RU","Saint Petersburg City","St. Petersburg","Kolpinsky","0"
"1108971233","West Sector","53.506377","-113.656323","890458485","borough","West Sector Edmonton,Alberta,Canada","Canada","CA","Alberta","Edmonton","West Sector","0"
"1108955769","Rosemont–La Petite-Patrie","45.550963","-73.581529","101736545","borough","Rosemont–La Petite-Patrie Montreal,Quebec,Canada","Canada","CA","Quebec","Montreal","Rosemont–La Petite-Patrie","0"
"1108955737","Villeray–Saint-Michel–Parc-Extension","45.550703","-73.612643","101736545","borough","Villeray–Saint-Michel–Parc-Extension Montreal,Quebec,Canada","Canada","CA","Quebec","Montreal","Villeray–Saint-Michel–Parc-Extension","0"
"1126115103","Les Rivieres","46.839583","-71.309755","101737491","borough","Les Rivieres Quebec,Quebec,Canada","Canada","CA","Quebec","Quebec","Les Rivieres","0"
"1126128707","Chutes-de-la-Chaudiere-Ouest","46.663618","-71.338779","101737987","borough","Chutes-de-la-Chaudiere-Ouest Lévis,Quebec,Canada","Canada","CA","Quebec","Lévis","Chutes-de-la-Chaudiere-Ouest","0"
"1158857303","Sutton","51.364683","-0.192916","101750367","borough","Sutton London,United Kingdom","United Kingdom","GB","","London","Sutton","0"
"1158857279","Haringey","51.595035","-0.091628","101750367","borough","Haringey London,United Kingdom","United Kingdom","GB","","London","Haringey","0"
"1158857257","City","51.513263","-0.089878","101750367","borough","City London,United Kingdom","United Kingdom","GB","","London","City","0"
"1108808671","Overvecht","52.119801","5.109255","101751827","borough","Overvecht Utrecht,Utrecht,Netherlands","Netherlands","NL","Utrecht","Utrecht","Overvecht","0"
"1108805745","Rozenburg","51.909835","4.235097","101751843","borough","Rozenburg Rotterdam,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","Rotterdam","Rozenburg","0"
"1108805723","Pernis","51.887598","4.388047","101751843","borough","Pernis Rotterdam,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","Rotterdam","Pernis","0"
"1158831797","Hoek van Holland","51.978051","4.140171","101751843","borough","Hoek van Holland Rotterdam,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","Rotterdam","Hoek van Holland","0"
"1158844279","Centrum","52.372165","4.895087","101751893","borough","Centrum Amsterdam,Noord-Holland,Netherlands","Netherlands","NL","Noord-Holland","Amsterdam","Centrum","0"
"1108808053","Centrum","52.076288","4.308327","101752763","borough","Centrum The Hague,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","The Hague","Centrum","0"
"1108729221","Suur-Matinkyla","60.128266","24.784671","101748415","borough","Suur-Matinkyla Espoo,Uusimaa,Finland","Finland","FI","Uusimaa","Espoo","Suur-Matinkyla","0"
"890536891","Koillinen","60.255794","25.010834","101748417","borough","Koillinen Helsinki,Uusimaa,Finland","Finland","FI","Uusimaa","Helsinki","Koillinen","0"
"1108815559","Treptow-Kopenick","52.424291","13.624591","101748799","borough","Treptow-Kopenick Berlin,Berlin,Germany","Germany","DE","Berlin","Berlin","Treptow-Kopenick","0"
"1108815537","Friedrichshain-Kreuzberg","52.511565","13.443621","101748799","borough","Friedrichshain-Kreuzberg Berlin,Berlin,Germany","Germany","DE","Berlin","Berlin","Friedrichshain-Kreuzberg","0"
"890535773","Coyoacán","19.327517","-99.154699","857683023","borough","Coyoacán Mexico City,Ciudad de México,Mexico","Mexico","MX","Ciudad de México","Mexico City","Coyoacán","11"
"1109371879","Comuna 14","-34.573855","-58.4219","421174285","borough","Comuna 14 Buenos Aires,Ciudad de Buenos Aires,Argentina","Argentina","AR","Ciudad de Buenos Aires","Buenos Aires","Comuna 14","0"
"1109371857","Comuna 4","-34.647219","-58.396376","421174285","borough","Comuna 4 Buenos Aires,Ciudad de Buenos Aires,Argentina","Argentina","AR","Ciudad de Buenos Aires","Buenos Aires","Comuna 4","0"
"1158858869","Krasnosel’skiy Rayon","0.0","0.0","1158857531","borough","Krasnosel’skiy Rayon St. Petersburg,Saint Petersburg City,Russia","Russia","RU","Saint Petersburg City","St. Petersburg","Krasnosel’skiy Rayon","0"
"1158857533","Admiralteyskiy Rayon","0.0","0.0","1158857531","borough","Admiralteyskiy Rayon St. Petersburg,Saint Petersburg City,Russia","Russia","RU","Saint Petersburg City","St. Petersburg","Admiralteyskiy Rayon","0"
"1108971223","Southwest Sector","53.451893","-113.549206","890458485","borough","Southwest Sector Edmonton,Alberta,Canada","Canada","CA","Alberta","Edmonton","Southwest Sector","0"
"1108955767","Le Plateau-Mont-Royal","45.523889","-73.578776","101736545","borough","Le Plateau-Mont-Royal Montreal,Quebec,Canada","Canada","CA","Quebec","Montreal","Le Plateau-Mont-Royal","0"
"1108955735","Saint-Leonard","45.586473","-73.599972","101736545","borough","Saint-Leonard Montreal,Quebec,Canada","Canada","CA","Quebec","Montreal","Saint-Leonard","0"
"1126115113","Beauport","46.858475","-71.187964","101737491","borough","Beauport Quebec,Quebec,Canada","Canada","CA","Quebec","Quebec","Beauport","0"
"1126128705","Chutes-de-la-Chaudiere-Est","46.69613","-71.189298","101737987","borough","Chutes-de-la-Chaudiere-Est Lévis,Quebec,Canada","Canada","CA","Quebec","Lévis","Chutes-de-la-Chaudiere-Est","0"
"1158857301","Croydon","51.373327","-0.092786","101750367","borough","Croydon London,United Kingdom","United Kingdom","GB","","London","Croydon","0"
"1158857277","Camden","51.543487","-0.163523","101750367","borough","Camden London,United Kingdom","United Kingdom","GB","","London","Camden","0"
"1158857255","Bexley","51.445655","0.14899","101750367","borough","Bexley London,United Kingdom","United Kingdom","GB","","London","Bexley","0"
"1108808669","Oost","52.082872","5.147267","101751827","borough","Oost Utrecht,Utrecht,Netherlands","Netherlands","NL","Utrecht","Utrecht","Oost","0"
"1108805743","Bedrijventerrein Schieveen","51.96","4.427584","101751843","borough","Bedrijventerrein Schieveen Rotterdam,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","Rotterdam","Bedrijventerrein Schieveen","0"
"1108805721","IJsselmonde","51.888015","4.544069","101751843","borough","IJsselmonde Rotterdam,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","Rotterdam","IJsselmonde","0"
"1158831793","Hillegersberg-Schiebroek","51.957877","4.486999","101751843","borough","Hillegersberg-Schiebroek Rotterdam,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","Rotterdam","Hillegersberg-Schiebroek","0"
"1158844277","Noord","52.402059","4.916316","101751893","borough","Noord Amsterdam,Noord-Holland,Netherlands","Netherlands","NL","Noord-Holland","Amsterdam","Noord","0"
"1108808051","Escamp","52.050496","4.277163","101752763","borough","Escamp The Hague,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","The Hague","Escamp","0"
"1108729219","Pohjois-Espoo","60.303636","24.697147","101748415","borough","Pohjois-Espoo Espoo,Uusimaa,Finland","Finland","FI","Uusimaa","Espoo","Pohjois-Espoo","0"
"890536883","Kaakkoinen","60.17559","25.04545","101748417","borough","Kaakkoinen Helsinki,Uusimaa,Finland","Finland","FI","Uusimaa","Helsinki","Kaakkoinen","0"
"1108815557","Tempelhof-Schoneberg","52.456016","13.388943","101748799","borough","Tempelhof-Schoneberg Berlin,Berlin,Germany","Germany","DE","Berlin","Berlin","Tempelhof-Schoneberg","0"
"1108815535","Charlottenburg-Wilmersdorf","52.49832","13.270242","101748799","borough","Charlottenburg-Wilmersdorf Berlin,Berlin,Germany","Germany","DE","Berlin","Berlin","Charlottenburg-Wilmersdorf","0"
"421205775","Staten Island","40.589886","-74.151842","85977539","borough","Staten Island New York,New York,United States","United States","US","New York","New York","Staten Island","10"
"1109371877","Comuna 13","-34.554225","-58.454536","421174285","borough","Comuna 13 Buenos Aires,Ciudad de Buenos Aires,Argentina","Argentina","AR","Ciudad de Buenos Aires","Buenos Aires","Comuna 13","0"
"1109371855","Comuna 3","-34.613987","-58.402462","421174285","borough","Comuna 3 Buenos Aires,Ciudad de Buenos Aires,Argentina","Argentina","AR","Ciudad de Buenos Aires","Buenos Aires","Comuna 3","0"
"1158858867","Kirovskiy Rayon","0.0","0.0","1158857531","borough","Kirovskiy Rayon St. Petersburg,Saint Petersburg City,Russia","Russia","RU","Saint Petersburg City","St. Petersburg","Kirovskiy Rayon","0"
"890535775","Xochimilco","19.254115","-99.110634","101991121","borough","Xochimilco Xochimilco,Ciudad de México,Mexico","Mexico","MX","Ciudad de México","Xochimilco","Xochimilco","0"
"1108971193","Southeast Sector","53.438261","-113.412335","890458485","borough","Southeast Sector Edmonton,Alberta,Canada","Canada","CA","Alberta","Edmonton","Southeast Sector","0"
"1108955765","Mercier–Hochelage-Maisonneuve","45.585093","-73.537641","101736545","borough","Mercier–Hochelage-Maisonneuve Montreal,Quebec,Canada","Canada","CA","Quebec","Montreal","Mercier–Hochelage-Maisonneuve","0"
"1108955733","Riviere-des-Prairies–Pointe-aux-Trembles","45.66049","-73.514738","101736545","borough","Riviere-des-Prairies–Pointe-aux-Trembles Montreal,Quebec,Canada","Canada","CA","Quebec","Montreal","Riviere-des-Prairies–Pointe-aux-Trembles","0"
"1108833321","Old Toronto","43.662871","-79.393715","101735835","borough","Old Toronto Toronto,Ontario,Canada","Canada","CA","Ontario","Toronto","Old Toronto","0"
"1126128703","Desjardins","46.782543","-71.110637","101737987","borough","Desjardins Lévis,Quebec,Canada","Canada","CA","Quebec","Lévis","Desjardins","0"
"1158857299","Lewisham","51.461009","-0.014498","101750367","borough","Lewisham London,United Kingdom","United Kingdom","GB","","London","Lewisham","0"
"1158857275","Islington","51.539064","-0.101269","101750367","borough","Islington London,United Kingdom","United Kingdom","GB","","London","Islington","0"
"1158857251","Wandsworth","51.455404","-0.191963","101750367","borough","Wandsworth London,United Kingdom","United Kingdom","GB","","London","Wandsworth","0"
"1108808665","Noordwest","52.110287","5.090974","101751827","borough","Noordwest Utrecht,Utrecht,Netherlands","Netherlands","NL","Utrecht","Utrecht","Noordwest","0"
"1108805741","Rivium","51.917346","4.537134","101751843","borough","Rivium Rotterdam,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","Rotterdam","Rivium","0"
"1158831791","Botlek-Europoort-Maasvlakte","51.936362","4.169997","101751843","borough","Botlek-Europoort-Maasvlakte Rotterdam,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","Rotterdam","Botlek-Europoort-Maasvlakte","0"
"1108808049","Laak","52.066137","4.331958","101752763","borough","Laak The Hague,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","The Hague","Laak","0"
"1108729217","Vanha-Espoo","60.259658","24.592649","101748415","borough","Vanha-Espoo Espoo,Uusimaa,Finland","Finland","FI","Uusimaa","Espoo","Vanha-Espoo","0"
"890536879","Etelainen","60.16412","24.93231","101748417","borough","Etelainen Helsinki,Uusimaa,Finland","Finland","FI","Uusimaa","Helsinki","Etelainen","0"
"1108815555","Steglitz-Zehlendorf","52.436132","13.272296","101748799","borough","Steglitz-Zehlendorf Berlin,Berlin,Germany","Germany","DE","Berlin","Berlin","Steglitz-Zehlendorf","0"
"890535785","Miguel Hidalgo","19.428974","-99.199847","857683023","borough","Miguel Hidalgo Mexico City,Ciudad de México,Mexico","Mexico","MX","Ciudad de México","Mexico City","Miguel Hidalgo","10"
"421205773","The Bronx","40.853551","-73.874979","85977539","borough","The Bronx New York,New York,United States","United States","US","New York","New York","The Bronx","12"
"1109371875","Comuna 12","-34.566341","-58.490059","421174285","borough","Comuna 12 Buenos Aires,Ciudad de Buenos Aires,Argentina","Argentina","AR","Ciudad de Buenos Aires","Buenos Aires","Comuna 12","0"
"1109371853","Comuna 2","-34.590028","-58.39521","421174285","borough","Comuna 2 Buenos Aires,Ciudad de Buenos Aires,Argentina","Argentina","AR","Ciudad de Buenos Aires","Buenos Aires","Comuna 2","0"
"1158858865","Kalininskiy Rayon","0.0","0.0","1158857531","borough","Kalininskiy Rayon St. Petersburg,Saint Petersburg City,Russia","Russia","RU","Saint Petersburg City","St. Petersburg","Kalininskiy Rayon","0"
"890535755","Azcapotzalco","19.487767","-99.181362","101991149","borough","Azcapotzalco Azcapotzalco,Ciudad de México,Mexico","Mexico","MX","Ciudad de México","Azcapotzalco","Azcapotzalco","10"
"1108971115","Northwest Sector","53.570465","-113.640957","890458485","borough","Northwest Sector Edmonton,Alberta,Canada","Canada","CA","Alberta","Edmonton","Northwest Sector","0"
"1108955761","Ville-Marie","45.504979","-73.566111","101736545","borough","Ville-Marie Montreal,Quebec,Canada","Canada","CA","Quebec","Montreal","Ville-Marie","0"
"1108955731","Montreal-Nord","45.607432","-73.625777","101736545","borough","Montreal-Nord Montreal,Quebec,Canada","Canada","CA","Quebec","Montreal","Montreal-Nord","0"
"1108833319","York","43.680189","-79.492232","101735835","borough","York Toronto,Ontario,Canada","Canada","CA","Ontario","Toronto","York","0"
"1158857319","Barking and Dagenham","51.542463","0.13991","101750367","borough","Barking and Dagenham London,United Kingdom","United Kingdom","GB","","London","Barking and Dagenham","0"
"1158857297","Bromley","51.401639","0.020742","101750367","borough","Bromley London,United Kingdom","United Kingdom","GB","","London","Bromley","0"
"1158857273","Hackney","51.545361","-0.056455","101750367","borough","Hackney London,United Kingdom","United Kingdom","GB","","London","Hackney","0"
"1158857249","Lambeth","51.496102","-0.116494","101750367","borough","Lambeth London,United Kingdom","United Kingdom","GB","","London","Lambeth","0"
"1108808663","Noordoost","52.103967","5.136288","101751827","borough","Noordoost Utrecht,Utrecht,Netherlands","Netherlands","NL","Utrecht","Utrecht","Noordoost","0"
"1108805739","Rotterdam-Noord-West","51.942154","4.405851","101751843","borough","Rotterdam-Noord-West Rotterdam,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","Rotterdam","Rotterdam-Noord-West","0"
"1158831763","Hoogvliet","51.865397","4.363059","101751843","borough","Hoogvliet Rotterdam,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","Rotterdam","Hoogvliet","0"
"1108808047","Leidschenveen-Ypenburg","52.058563","4.37718","101752763","borough","Leidschenveen-Ypenburg The Hague,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","The Hague","Leidschenveen-Ypenburg","0"
"1108729213","Suur-Kauklahti","60.197267","24.57419","101748415","borough","Suur-Kauklahti Espoo,Uusimaa,Finland","Finland","FI","Uusimaa","Espoo","Suur-Kauklahti","0"
"1108729499","Myyrmaki","60.278677","24.796702","101748419","borough","Myyrmaki Vantaa,Uusimaa,Finland","Finland","FI","Uusimaa","Vantaa","Myyrmaki","0"
"1108815553","Spandau","52.544354","13.186056","101748799","borough","Spandau Berlin,Berlin,Germany","Germany","DE","Berlin","Berlin","Spandau","0"
"890535783","Tláhuac","19.297259","-99.042946","857683023","borough","Tláhuac Mexico City,Ciudad de México,Mexico","Mexico","MX","Ciudad de México","Mexico City","Tláhuac","10"
"421205771","Manhattan","40.777048","-73.967596","85977539","borough","Manhattan New York,New York,United States","United States","US","New York","New York","Manhattan","12"
"1109371873","Comuna 11","-34.6019","-58.512079","421174285","borough","Comuna 11 Buenos Aires,Ciudad de Buenos Aires,Argentina","Argentina","AR","Ciudad de Buenos Aires","Buenos Aires","Comuna 11","0"
"1158858885","Zhdanovskiy Rayon","0.0","0.0","1158857531","borough","Zhdanovskiy Rayon St. Petersburg,Saint Petersburg City,Russia","Russia","RU","Saint Petersburg City","St. Petersburg","Zhdanovskiy Rayon","0"
"1158858863","Frunzenskiy Rayon","0.0","0.0","1158857531","borough","Frunzenskiy Rayon St. Petersburg,Saint Petersburg City,Russia","Russia","RU","Saint Petersburg City","St. Petersburg","Frunzenskiy Rayon","0"
"890535779","Tlalpan","19.274583","-99.178087","101991157","borough","Tlalpan Tlalpan,Ciudad de México,Mexico","Mexico","MX","Ciudad de México","Tlalpan","Tlalpan","11"
"1108971111","North Sector","53.614831","-113.515961","890458485","borough","North Sector Edmonton,Alberta,Canada","Canada","CA","Alberta","Edmonton","North Sector","0"
"1108955759","Le Sud-Ouest","45.477516","-73.576472","101736545","borough","Le Sud-Ouest Montreal,Quebec,Canada","Canada","CA","Quebec","Montreal","Le Sud-Ouest","0"
"1108955729","Pierrefonds-Roxboro","45.510214","-73.823176","101736545","borough","Pierrefonds-Roxboro Montreal,Quebec,Canada","Canada","CA","Quebec","Montreal","Pierrefonds-Roxboro","0"
"1108833317","East York","43.699591","-79.351742","101735835","borough","East York Toronto,Ontario,Canada","Canada","CA","Ontario","Toronto","East York","0"
"1158857317","Kensington and Chelsea","51.501136","-0.196631","101750367","borough","Kensington and Chelsea London,United Kingdom","United Kingdom","GB","","London","Kensington and Chelsea","0"
"1158857295","Greenwich","51.48006","-0.002217","101750367","borough","Greenwich London,United Kingdom","United Kingdom","GB","","London","Greenwich","0"
"1158857269","Tower Hamlets","51.520821","-0.056456","101750367","borough","Tower Hamlets London,United Kingdom","United Kingdom","GB","","London","Tower Hamlets","0"
"1158857247","Southwark","51.486392","-0.079235","101750367","borough","Southwark London,United Kingdom","United Kingdom","GB","","London","Southwark","0"
"1108808661","Leidsche Rijn","52.09333","5.057589","101751827","borough","Leidsche Rijn Utrecht,Utrecht,Netherlands","Netherlands","NL","Utrecht","Utrecht","Leidsche Rijn","0"
"1108805713","Overschie","51.941805","4.433252","101751843","borough","Overschie Rotterdam,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","Rotterdam","Overschie","0"
"1158831761","IJsselmonde","51.887934","4.543246","101751843","borough","IJsselmonde Rotterdam,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","Rotterdam","IJsselmonde","0"
"1108808045","Haagse Hout","52.086613","4.335408","101752763","borough","Haagse Hout The Hague,Zuid-Holland,Netherlands","Netherlands","NL","Zuid-Holland","The Hague","Haagse Hout","0"
"1108729211","Suur-Espoonlahti","60.16126","24.66833","101748415","borough","Suur-Espoonlahti Espoo,Uusimaa,Finland","Finland","FI","Uusimaa","Espoo","Suur-Espoonlahti","0"
"1108729497","Korso","60.349706","25.088916","101748419","borough","Korso Vantaa,Uusimaa,Finland","Finland","FI","Uusimaa","Vantaa","Korso","0"
"1108815551","Reinickendorf","52.591439","13.284953","101748799","borough","Reinickendorf Berlin,Berlin,Germany","Germany","DE","Berlin","Berlin","Reinickendorf","0"
"890535767","Cuajimalpa de Morelos","19.36233","-99.28258","857683023","borough","Cuajimalpa de Morelos Mexico City,Ciudad de México,Mexico","Mexico","MX","Ciudad de México","Mexico City","Cuajimalpa de Morelos","9"
"421205767","Queens","40.718804","-73.805154","85977539","borough","Queens New York,New York,United States","United States","US","New York","New York","Queens","12"
